Species,Family,Specimen Number,Flight,Aquatic.feeding,Fossil,Diet,CC.AspectRatio.log,Caudal.cranium.dis1,PostRostral.Cranium.length,PostRostral.Cranium.Dis,Skull.AspectRatio,Skull.AspectRatio.log,Skull.AspectRatio.dis,CC.Height.log,CC.Height.log.dis,CC.Width.log,CC.Width.log.dis,Centroid.size.dis,Body.Mass.log,Body.Mass.dis,Endosurface log,Endosurface.log.dis,Data.names,HigherTaxonomy
Mitu_mitu,Cracidae,FMNH:Birds:320386,TRUE,No,FALSE,Frugivore,0.787896944,>0.71 but <0.81,1.758457689,>1.70 but <1.90,1.717795087,0.234971356,>0.0 but <0.265,1.419955748,>1.36 but <1.45,1.523486332,>1.46 but>1.90,>1.35 but <1.52,3.4216,>3.2 but <4.0,NA,NA,Mitu_mitu,Galliformes
Nettapus_pulchellus,Anatidae,SAM B45606,TRUE,Yes,FALSE,Aquatic Vegetation,0.990458015,>0.81 but <1.03,1.565139152,>1.55 but <1.64,2.337150127,0.36868661,>0.34 but <0.44,1.192288613,<1.24,1.196452542,<1.26,<1.24,2.4871,<2.5,3.057213319,<1.12,Nettapus_pulchellus,Anseriformes
Ortalis_vetula,Cracidae,SAM B13342,TRUE,No,FALSE,Terrestrial Omnivore,0.82725832,>0.81 but <1.03,1.537315273,<1.55,1.820390914,0.260164659,>0.0 but <0.265,1.194791758,<1.24,1.277150614,>1.26 but <1.37,>1.292 but <1.35,2.7505,>2.5 but <3.2,3.121366125,>3.12 but <3.24,Ortalis_vetula,Galliformes
Oxyura_australis,Anatidae,SAM B31910,TRUE,Yes,FALSE,Aquatic Diver,1.023952096,>0.81 but <1.03,1.660960292,>1.64 but <1.70,2.285928144,0.359062575,>0.34 but <0.44,1.312177356,>1.24 but <1.36,1.301897717,>1.26 but <1.37,>1.24 but <1.292,2.902,>2.5 but <3.2,3.20011146,>3.12 but <3.24,Oxyura_australis,Anseriformes
Pavo_muticius,Phasianidae,SAM B47840,TRUE,No,FALSE,Terrestrial Omnivore,0.773712375,>0.71 but <0.81,1.664453929,>1.64 but <1.70,1.544481605,0.18878274,>0.0 but <0.265,1.364250731,>1.36 but <1.45,1.475671188,>1.46 but>1.90,>1.35 but <1.52,3.3435,>3.2 but <4.0,NA,NA,Pavo_muticus,Galliformes
Perdix_perdix,Phasianidae,SAM B49224,TRUE,No,FALSE,Terrestrial Grain Eaters,0.657298063,<0.71,1.456973014,<1.55,1.352857818,0.131252156,>0.0 but <0.265,1.143483211,<1.24,1.325720858,>1.26 but <1.37,>1.24 but <1.292,2.608,>2.5 but <3.2,NA,NA,Perdix_perdix,Galliformes
Rhea_americana,Rheidae,CM:Birds:S9197,FALSE,No,FALSE,Terrestrial Omnivore,0.827914178,>0.81 but <1.03,1.899546931,>1.70 but <1.90,1.755142668,0.244312424,>0.0 but <0.265,1.573219827,>1.45 but <1.8,1.655234507,>1.46 but>1.90,>1.52 but <1.55,4.3617,>4.0 but <5.0,3.653791187,>3.50 but <3.80,Rhea_americana,Palaeognathae
Rhynchotus_rufescens,Tinamidae,TMM:M:10443,TRUE,No,FALSE,Terrestrial Omnivore,0.506918819,<0.71,1.450710878,<1.55,1.302121771,0.1146516,>0.0 but <0.265,1.040997692,<1.24,1.336059278,>1.26 but <1.37,>1.292 but <1.35,2.9266,>2.5 but <3.2,3.110926242,<1.12,Rhynchotus_rufescens,Palaeognathae
Stictonetta_naevosa,Anatidae,SAMB56055,TRUE,Yes,FALSE,Aquatic Dabbler,1.155555556,>1.11 but <1.2,1.752893155,>1.70 but <1.90,2.925581395,0.466212186,>0.44,1.349471799,>1.24 but <1.36,1.286680969,>1.26 but <1.37,>1.24 but <1.292,2.9569,>2.5 but <3.2,3.228254029,>3.12 but <3.24,Stictonetta_naevosa,Anseriformes
Sylviornis_neocaledoniae,Sylviornithidae,IANCP.PN-WNP011.PA-1.2003-563,FALSE,No,TRUE,Terrestrial Omnivore,0.487659723,<0.71,1.934043719,>1.90,0.751881673,-0.123850501,<0.00,1.746011108,>1.45 but <1.8,2.05789422,>1.90,>1.55,4.6021,>4.0 but <5.0,3.763383064,>3.50 but <3.80,Sylviornis_neocaledoniae,Galliformes
Tadorna_tadornoides,Anatidae,SAMB39872,TRUE,Yes,FALSE,Aquatic Omnivore,0.985693848,>0.81 but <1.03,1.779380011,>1.70 but <1.90,2.869337148,0.457781581,>0.44,1.315340477,>1.24 but <1.36,1.32159843,>1.26 but <1.37,>1.292 but <1.35,3.1538,>2.5 but <3.2,3.324109526,>3.24 but <3.35,Tadorna_tadornoides,Anseriformes
Talegalla_fuscirostris,Megapodiidae,KU97007,TRUE,No,FALSE,Terrestrial Omnivore,0.880875671,>0.81 but <1.03,1.650890078,>1.64 but <1.70,1.8488228,0.266895288,>0.265 but <0.34,1.328909405,>1.24 but <1.36,1.383994789,>1.37 but <1.46,>1.292 but <1.35,3.1204,>2.5 but <3.2,3.268460959,>3.24 but <3.35,Talegalla_fuscirostris,Galliformes
